teryt;gmina;powiat;wojewodztwo;numer;mieszkancy;wyborcy;pakiety;siedziba;miejscowosc;ulica;nr_posesji;nr_lokalu;kod_pocztowy;poczta;typ_obwodu;dla_niepelnosprawnych;typ_obszaru;pelna_siedziba;opis_granic
246901;m. Katowice;Katowice;śląskie;29;2314;1783;8;Zespół Szkolno-Przedszkolny nr 11;Katowice;ul. Jana Wantuły;11;;40-750;Katowice;stały;Nie;miasto;Zespół Szkolno-Przedszkolny nr 11, ul. Jana Wantuły 11, 40-750 Katowice;ul.: Olgi Boznańskiej, Czarnuszki, Jana Fojcika, Aleksandra Gierymskiego, Zdzisława Hierowskiego, Jałowcowa, Jana Nikodema Jaronia, Wandy Jordan-Łowińskiej, Michała Kałuży, Ludwika Klakusa, Bolesława Krupińskiego, Łopianowa, Maków, Ludwika Musioła, Wincentego Ogrodzińskiego, Władysława Skoczylasa, Bolesława Surówki, Szarych Szeregów od nr 44 do końca, Tymiankowa, Rafała Urbana, Jana Wantuły, Wieżowa, Stanisława Ignacego Witkiewicza, Franciszka Zabłockiego.
246901;m. Katowice;Katowice;śląskie;30;986;817;0;Zespół Szkolno-Przedszkolny nr 10;Katowice;ul. Kazimierza Lepszego;2;;40-750;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 10, ul. Kazimierza Lepszego 2, 40-750 Katowice;ul.: Jacka Koraszewskiego, Jana Kściuczyka, Kazimierza Lepszego.
246901;m. Katowice;Katowice;śląskie;31;1422;1125;0;Zespół Szkolno-Przedszkolny nr 10;Katowice;ul. Kazimierza Lepszego;2;;40-750;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 10, ul. Kazimierza Lepszego 2, 40-750 Katowice;ul.: Tadeusza Boya Żeleńskiego od nr 76 do końca parzyste, od nr 73 do końca nieparzyste, Jana Chęcińskiego, Plac Filaka.
246901;m. Katowice;Katowice;śląskie;32;2635;1989;2;Szkoła Podstawowa nr 21;Katowice;ul. Mieczyków;1A;;40-748;Katowice;stały;Tak;miasto;Szkoła Podstawowa nr 21, ul. Mieczyków 1A, 40-748 Katowice;ul.: Cyklamenów, Cyprysów, Gerberów, Goździków, Hortensji, Kaczeńców, Kamelii, Kaskady, Józefa Kokota, ks. Alojzego Lazara, Magnoliowa, Jacka Malczewskiego, Malwy, Piotra Michałowskiego, Mieczyków, Piotra Norblina, Aleksandra Raka, Karola Stabika od nr 55 do końca nieparzyste, od nr 66 do końca parzyste, Storczyków, Słonecznikowa od nr 1 do nr 75, Tarninowa, Marcina Trojoka, Tulipanów, Uniczowska od nr 1 do nr 91.
246901;m. Katowice;Katowice;śląskie;33;2123;1520;0;Szkoła Podstawowa nr 21;Katowice;ul. Mieczyków;1A;;40-748;Katowice;stały;Tak;miasto;Szkoła Podstawowa nr 21, ul. Mieczyków 1A, 40-748 Katowice;ul.: Barwinków, Begonii, gen. Tadeusza Bora Komorowskiego, Chryzantem, Cynamonowa, Forsycji, Imbirowa, Konwalii, Krokusów, Kryształowa, Kwiatów Polskich, Miętowa, Nagietek, Niezapominajek, Piwonii, Rafała Pomorskiego, Rezedowa, Rolnicza, Sarnia, Siedliska, Stokrotek, Strzelnica, Sumów, Ślazowa, Augustyna Świdra, Waniliowa, Złocieni.
246901;m. Katowice;Katowice;śląskie;34;2323;1809;1;Szkoła Podstawowa nr 21;Katowice;ul. Mieczyków;1A;;40-748;Katowice;stały;Tak;miasto;Szkoła Podstawowa nr 21, ul. Mieczyków 1A, 40-748 Katowice;ul.: Armii Krajowej od nr 366 do końca, Chabrowa, Dąbrowa, Marzanny, Mleczna, Okrąglica, Podleśna, Saska, Sołtysia od nr 1 do nr 94, Śnieżyczek, Zaopusta.
246901;m. Katowice;Katowice;śląskie;35;1666;1377;0;Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach;Katowice;ul. Walerego Goetla;2;;40-749;Katowice;stały;Tak;miasto;Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Walerego Goetla 2, 40-749 Katowice;ul.: Karola Bohdanowicza, Witolda Budryka, Henryka Czeczotta, Ignacego Domeyki, Juliana Fałata, Walentego Fojkisa, Walerego Goetla, bł. ks. Stanisława Kubisty, Stanisława Mastalerza, Józefa Piernikarczyka, Pawła Edmunda Strzeleckiego, Adama Szebesty, Juliana Tokarskiego, Rudolfa Zubera.
246901;m. Katowice;Katowice;śląskie;36;1404;1152;1;Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach;Katowice;ul. Walerego Goetla;2;;40-749;Katowice;stały;Tak;miasto;Zespół Szkół nr 2 im. Jarosława Iwaszkiewicza-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Walerego Goetla 2, 40-749 Katowice;ul.: Bielska, Ks. bpa Bernarda Bogedaina, Arki Bożka, Franciszka Chroboka, Mieczysławy Ćwiklińskiej, Adama Didura, Józefa Elsnera, Księdza Wiktora Matejczyka, Rudolfa Niemczyka, Jana Samsonowicza, Michała Scipio del Campo, Ludwika Solskiego, Jacka Woszczerowicza, Aleksandra Zająca.
246901;m. Katowice;Katowice;śląskie;37;1327;1083;0;"Miejski Dom Kultury ""Południe"" Filia nr 2 w Murckach";Katowice;ul. Pawła Kołodzieja;42;;40-749;Katowice;stały;Nie;miasto;"Miejski Dom Kultury ""Południe"" Filia nr 2 w Murckach, ul. Pawła Kołodzieja 42, 40-749 Katowice";ul.: Kamila Baczyńskiego, Beskidzka, Białobrzeska, Cegielnia Murcki nr parzyste, od nr 1 do nr 7 nieparzyste, Plac Jana Kasprowicza, Pawła Kołodzieja, Józefa Laskowskiego, Leśników, Lędzińska, Roberta Mruczka, Park Murckowski, Alfreda Sokołowskiego, Tartaczna, Węgierska, Alojzego Wojtalewicza, Wolności, Żubrów Murckowskich.
246901;m. Katowice;Katowice;śląskie;38;2271;1844;0;Katowickie Centrum Edukacji Zawodowej im. Powstańców Śląskich-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach;Katowice;ul. Techników;11;;40-326;Katowice;stały;Tak;miasto;Katowickie Centrum Edukacji Zawodowej im. Powstańców Śląskich-Centrum Kształcenia Zawodowego i Ustawicznego w Katowicach, ul. Techników 11, 40-326 Katowice;ul.: Józefa Biniszkiewicza, Budowlana, gen. Henryka le Ronda od nr 24 do końca parzyste, od nr 17 do końca nieparzyste, Międzyblokowa, Park Zielony Zakątek, ks. Jerzego Popiełuszki, Siemianowicka, ks. dr Wiktora Siwka, Styczniowa, Szwedzka, Techników, Wiertnicza.
